1234567890123456789012345,AAAAA,BBBB,CCCC,ALTO
0123456789012345678901234,ABABB,BXBX,FDDR,BAJA  
0123456789012345678901111,A1A11,AXAX,SASE,BAJA
A1A2A3A123456789456123547,Nro35,A123,2500,Alta
A1A2A3A123456789456888888,Nro88,B874,9600,Baja
5655543543545354354354345,23233,2323,2333,2323
3434343434343434343434439,AAAAA,BBBB,6500,ALTA
3232                     ,23   ,23  ,23  ,3   
1212                     ,12   ,213 ,23  ,23  
11                       ,2    ,3   ,4   ,5   
22                       ,3    ,3   ,4   ,5   
4444                     ,4    ,4   ,4   ,45  
222                      ,4545 ,6565,133 ,1233
1                        ,56   ,767 ,757 ,5677
2                        ,GGDF ,SFSD,GSGG,FDG 
3                        ,VXVX ,CXV ,XCV ,CXF 
4                        ,FGDS ,BFDB,CV  ,CBB 
2                        ,WED  ,BDGG,FDGD,GDF 
22                       ,1    ,1   ,1   ,1   
2                        ,2    ,22  ,2   ,2   
85                       ,32   ,14  ,985 ,2356
33                       ,56   ,5423,8745,2145
